,alpha,density,Run,half_time,percolation_system,segregation_coefficient,stopping_step,total_avg_cluster_size,size,pop_weights,homophily,fixed_areas_pc,cluster_threshold,stopping_threshold,stats,server
176,0.97,0.9,176,1.0,True,0.5020995555555555,22,208.16,25,"(0.6, 0.4)",5,0.0,4,5,True,False
177,0.97,0.9,177,1.6313931822192937,True,0.5039795555555555,25,118.89999999999999,25,"(0.6, 0.4)",5,0.0,4,5,True,False
178,0.97,0.9,178,1.9241348468177608,True,0.6897288888888888,23,135.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
179,0.97,0.9,179,1.0,True,0.5186453333333334,19,76.5,25,"(0.6, 0.4)",5,0.0,4,5,True,False
180,0.97,0.9099999999999999,180,1.0,True,0.6309591111111111,25,110.79999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
181,0.97,0.9099999999999999,181,1.0,True,0.7614168888888888,22,232.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
182,0.97,0.9099999999999999,182,1.0,True,0.6305235555555555,28,213.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
183,0.97,0.9099999999999999,183,1.0,True,0.6625466666666666,24,96.93333333333334,25,"(0.6, 0.4)",5,0.0,4,5,True,False
184,0.97,0.9099999999999999,184,1.0,True,0.5844337777777777,25,92.85,25,"(0.6, 0.4)",5,0.0,4,5,True,False
185,0.97,0.9199999999999999,185,1.1663290653257874,True,0.6148995555555555,26,252.79999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
186,0.97,0.9199999999999999,186,1.0800703799035778,True,0.4843431111111111,26,145.5,25,"(0.6, 0.4)",5,0.0,4,5,True,False
187,0.97,0.9199999999999999,187,2.5603054812009662,True,0.6205831111111111,29,148.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
188,0.97,0.9199999999999999,188,1.0,True,0.5339484444444444,25,132.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
189,0.97,0.9199999999999999,189,1.2036914762715152,True,0.6487368888888889,29,145.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
190,0.97,0.9299999999999999,190,1.0,True,0.6727048888888889,19,114.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
